,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,High,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day
,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,279.6694267515923,288.12610676253973,5084220.811392588,0.1173822990764329,202.44141503503872,0.0,5.819913140836752,5.7179267141445695,6.862701823436233,287.87362204724406,295.4650997785433,6047211.519740679,0.2,178.26828441523492,0.1046109431414163,3.952271183193811,3.6790527159667215,6.286581541801803,297.470987654321,303.5261049382716,7275999.116400362,0.2,133.35653171029517,0.552988274519278,2.3042010407993785,2.031703073580003,6.995456865654703,302.0,307.0,8300708.714063777,0.2,138.09588156424212,0.4989272418993094,1.947997705593328,1.7049569585643864,6.781481130901665
1,279.58057324840763,288.05304558121014,5075280.007255145,0.1160029401047328,202.65935967108217,0.0,5.844510439148965,5.743721337034009,6.886178912775615,287.48937007874014,295.0785572096457,5993116.670660182,0.2,179.69331872699868,0.0939389251572986,4.029820401964862,3.765794071717734,6.20505661481075,296.4339506172839,302.734037037037,7145485.678766996,0.2,141.7223730929749,0.4486848252524016,2.5084339842794545,2.2226966927013945,7.021934574992256,300.04999999999995,305.04999999999995,7841900.493560944,0.2,142.8748077179326,0.4395715366515033,2.1922495007003437,1.931569931334792,6.740960513804988
2,279.15509554140124,287.6252097929936,5023166.518526895,0.1109863009753264,203.9290318755252,0.0,5.989336111542134,5.8976918393334135,6.964411766970686,286.807874015748,294.5488005044291,5919621.155629908,0.1926485927917502,181.60973312881103,0.0871932991407672,4.142028251048928,3.8874840928980894,6.274682287031825,295.40679012345674,301.94346296296294,7017741.341083036,0.2,147.7302058226727,0.3808466600119963,2.6804249295157114,2.3850865622420905,7.037739540303636,299.4,304.4,7686167.038070969,0.2,144.47937818285362,0.4204744071483557,2.283128010267623,2.016698532493637,6.726131349994229
3,278.78980891719743,287.32342025776273,4986654.415004093,0.1088544094995551,204.8180542984358,0.0,6.094113754838898,6.009404793763168,7.000662139911389,286.21377952755904,294.1121884227362,5859598.873110566,0.188253429177834,183.159737147972,0.0803950069950205,4.236229333611716,3.990369476140405,6.297251469747193,294.5055555555556,301.2712569444444,6910918.908242465,0.2,152.01712253552805,0.3356125948419259,2.8183788883457197,2.515782018932195,7.070645583624599,298.6,303.6,7492834.152320553,0.2,146.4695152471902,0.3973399406291576,2.402526839805451,2.129215705359526,6.7074419238516025
4,278.5085987261146,287.0105868332006,4949021.408455205,0.1028807275972818,205.7340479148189,0.0,6.208392388139117,6.128038681440424,7.115253474234704,285.68622047244094,293.5981882997048,5789567.661743249,0.1810151098149153,184.95296523396965,0.074909332995903,4.347244365393249,4.114684167410521,6.320844467623158,293.7271604938271,300.53814564043205,6796181.377809604,0.2,156.1745346203205,0.2940386335750795,2.963533162196431,2.6556192148431506,7.051672675763323,297.9,303.7754375,7317682.658995932,0.2,129.4224078409815,0.6065595503148293,2.2200173781156534,1.9538308215974176,6.963480547738246
5,278.2248407643312,286.77504555632964,4920830.306445174,0.1021778005472831,206.42008836805056,0.0,6.292673485399709,6.219335012554207,7.1136352997886805,285.2846456692913,293.175600578248,5732495.532022108,0.1703354791748323,186.40346862055424,0.0754696284649387,4.440594576388322,4.219625491065629,6.411803774146729,292.9864197530864,300.04624749228395,6720183.466267691,0.2,158.74697618870582,0.2693681971289489,3.0615122074642493,2.749167865724593,7.087993785218671,297.35,303.427375,7259578.976387933,0.2,134.64843489077728,0.5360606969162056,2.333188463405122,2.0588163497052223,6.992599359118775
6,278.0429936305732,286.5417739848726,4893032.111316684,0.0982496090300059,207.09651250323205,0.0,6.379482438763903,6.311479797985697,7.165252037836807,285.2992125984252,293.18712324680115,5734045.722762347,0.1705867248912373,186.3641901308375,0.0754904046507955,4.437951238757786,4.216730097220326,6.408990151175062,293.2654320987654,300.23152912808644,6748718.112795264,0.2,157.7954347541405,0.2784032342102449,3.024556257252635,2.7139095590420723,7.072061158836976,297.79999999999995,303.7473125,7312964.328017147,0.2,129.93356662479013,0.5994205304871888,2.230761064355073,1.963571707107885,6.979103546749029
7,278.0668789808917,286.5616939938297,4895401.212517374,0.0986170965491443,207.03886508283836,0.0,6.3724055373305815,6.303542698985397,7.166259339036325,286.311811023622,294.18820112573815,5870013.043254263,0.1829929645493529,182.89170878539912,0.0875779644960239,4.2186195592576485,3.972282692736725,6.381086701871318,295.0074074074074,301.5809936342593,6959942.778131278,0.2,150.11043489466147,0.3554230325353233,2.754816172073046,2.4560358907120423,7.032205480724873,299.54999999999995,304.54999999999995,7722219.158163166,0.2,144.1082849971262,0.4248552875905282,2.2617084976522026,1.9965762357111256,6.730620028685504
