,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,High,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day
,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,279.6694267515923,288.12610676253973,5084220.811392588,0.1173822990764391,202.44141503503872,0.0,5.819913140836748,5.7179267141445695,6.862701823436144,287.87362204724406,295.4650997785433,6047211.519740679,0.2095485343872831,178.26828441523492,0.0950624087682761,3.952517067474474,3.6790527159667215,6.125231034012635,297.470987654321,303.5261049382716,7275999.116400362,0.35,133.35653171029517,0.4029882745188942,2.48971664584564,2.031703073580003,6.995456865654703,302.0,307.0,8300708.714063777,0.35,138.09588156424212,0.3489272418993099,2.0860534547917284,1.7049569585643864,5.772722980200212
1,279.58057324840763,288.05304558121014,5075280.007255145,0.1160029401047369,202.65935967108217,0.0,5.844510439148961,5.743721337034009,6.886178912775543,287.48937007874014,295.0785572096457,5993116.670660182,0.2004904458338592,179.69331872699868,0.0934484793240941,4.02980640336721,3.765794071717734,6.196675821806307,296.4339506172839,302.734037037037,7145485.678766996,0.35,141.7223730929749,0.2986848252524055,2.676463447634045,2.2226966927013945,6.422842140362174,300.04999999999995,305.04999999999995,7841900.493560944,0.35,142.8748077179326,0.289571536651508,2.3271950021539083,1.931569931334792,5.610420964783354
2,279.15509554140124,287.6252097929936,5023166.518526895,0.1109863009753313,203.9290318755252,0.0,5.989336111542139,5.8976918393334135,6.964411766970686,286.807874015748,294.5488005044291,5919621.155629908,0.1926485927917389,181.60973312881103,0.0871932991407797,4.142028251048929,3.8874840928980894,6.274682287032023,295.40679012345674,301.94346296296294,7017741.341083036,0.35,147.7302058226727,0.2308466600119984,2.8236597919866244,2.3850865622420905,5.949251679891316,299.4,304.4,7686167.038070969,0.35,144.47937818285362,0.2704744071482082,2.4156564963966414,2.016698532493637,5.556053114454072
3,278.78980891719743,287.32342025776273,4986654.415004093,0.1088544094995574,204.8180542984358,0.0,6.094113754838881,6.009404793763168,7.0006621399111575,286.21377952755904,294.1121884227362,5859598.873110566,0.1882534291778351,183.159737147972,0.0803950069950205,4.236229333611717,3.990369476140405,6.297251469747193,294.5055555555556,301.2712569444444,6910918.908242465,0.35,152.01712253552805,0.1856125948419242,2.939542335357804,2.515782018932195,5.666690388161402,298.6,303.6,7492834.152320553,0.35,146.4695152471902,0.2473399406299629,2.5307598998777374,2.129215705359526,5.487603750690311
4,278.5085987261146,287.0105868332006,4949021.408455205,0.1028807275972803,205.7340479148189,0.0,6.208392388139113,6.128038681440424,7.1152534742346525,285.68622047244094,293.5981882997048,5789567.661743249,0.1810151098148989,184.95296523396965,0.0749093329959241,4.347244365393256,4.114684167410521,6.320844467623509,293.7271604938271,300.53814564043205,6796181.377809604,0.35,156.1745346203205,0.1440386335750771,3.0566513113664064,2.6556192148431506,5.376361673306086,297.9,303.7754375,7317682.658995932,0.35,129.4224078409815,0.4565595503025443,2.401805042100885,1.9538308215974176,6.963480547738246
5,278.2248407643312,286.77504555632964,4920830.306445174,0.1021778005472813,206.42008836805056,0.0,6.2926734853997015,6.219335012554207,7.113635299788588,285.2846456692913,293.175600578248,5732495.532022108,0.1703354791748188,186.40346862055424,0.0754696284649541,4.44059457638833,4.219625491065629,6.411803774147082,292.9864197530864,300.04624749228395,6720183.466267691,0.3332536957271698,158.74697618870582,0.1361145014017888,3.137908354630321,2.749167865724593,5.450693645339838,297.35,303.427375,7259578.976387933,0.35,134.64843489077728,0.3860606969160718,2.5197431337010343,2.0588163497052223,6.992599359118775
6,278.0429936305732,286.5417739848726,4893032.111316684,0.0982496090300075,207.09651250323205,0.0,6.379482438763904,6.311479797985697,7.165252037836807,285.2992125984252,293.18712324680115,5734045.722762347,0.1705867248912229,186.3641901308375,0.0754904046508134,4.437951238757778,4.216730097220326,6.408990151175183,293.2654320987654,300.23152912808644,6748718.112795264,0.3397678802668296,157.7954347541405,0.1386353539434158,3.107272480296821,2.7139095590420723,5.418983634445274,297.79999999999995,303.7473125,7312964.328017147,0.35,129.93356662479013,0.4494205304794174,2.4131889444156878,1.963571707107885,6.979103546749029
7,278.0668789808917,286.5616939938297,4895401.212517374,0.0986170965491488,207.03886508283836,0.0,6.372405537330585,6.303542698985397,7.166259339036325,286.311811023622,294.18820112573815,5870013.043254263,0.182992964549341,182.89170878539912,0.0875779644960363,4.2186195592576485,3.972282692736725,6.381086701871534,295.0074074074074,301.5809936342593,6959942.778131278,0.35,150.11043489466147,0.2054230325353275,2.885875168148991,2.4560358907120423,5.7721934720785,299.54999999999995,304.54999999999995,7722219.158163166,0.35,144.1082849971262,0.2748552875893588,2.3948876212237877,1.9965762357111256,5.569402792342511
