,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day
,T_amb,T_gc_out,P_h_1,COP_CO2_1,delta_h_CO2_1,beta_1_max,COP_DMS_TES,T_amb,T_gc_out,P_h_1,COP_CO2_1,delta_h_CO2_1,beta_1_max,COP_DMS_TES,T_amb,T_gc_out,P_h_1,COP_CO2_1,delta_h_CO2_1,beta_1_max,COP_DMS_TES,T_amb,T_gc_out,P_h_1,COP_CO2_1,delta_h_CO2_1,beta_1_max,COP_DMS_TES
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,279.6694267515923,288.12610676253973,5084220.811392588,5.717926717090771,202.44141503503872,0.2628083046610333,5.944296274795488,287.87362204724406,295.4650997785433,6047211.519740679,3.6790527174998955,178.26828441523492,0.4368451589479478,5.512403576573471,297.470987654321,303.5261049382716,7275999.116400362,2.031703074288672,133.35653171029517,0.9248055571937257,5.3194444239923175,302.0,307.0,8300708.714063777,1.7049569590992764,138.09588156424212,0.8615083111737633,5.2995207965263855
1,279.58057324840763,288.05304558121014,5075280.007255145,5.743721340000831,202.65935967108217,0.2614256797984123,5.949419477021164,287.48937007874014,295.0785572096457,5993116.670660182,3.765794073302391,179.69331872699868,0.4253047192810307,5.5252959060931115,296.4339506172839,302.734037037037,7145485.678766996,2.2226966934889894,141.7223730929749,0.8108112969573815,5.32901353882743,300.04999999999995,305.04999999999995,7841900.493560944,1.9315699319680264,142.8748077179326,0.7981002047379453,5.304042359147164
2,279.15509554140124,287.6252097929936,5023166.518526895,5.897691842424382,203.9290318755252,0.2534290007665213,5.980346130570371,286.807874015748,294.5488005044291,5919621.155629908,3.887484094556373,181.60973312881106,0.41006659786329774,5.549973046158338,295.40679012345674,301.94346296296294,7017741.341083036,2.3850865631008644,147.7302058226727,0.7368125012197294,5.340604108089562,299.4,304.4,7686167.038070969,2.016698533165528,144.47937818285362,0.7777285538351815,5.306758712166651
3,278.78980891719743,287.32342025776273,4986654.415004093,6.0094047969458,204.8180542984358,0.2478880262112554,6.008686101953741,286.21377952755904,294.1121884227362,5859598.873110566,3.9903694778619756,183.159737147972,0.39797205252401646,5.572247334104903,294.50555555555553,301.2712569444444,6910918.908242465,2.515782019850728,152.01712253552805,0.6875383963828353,5.35415895389898,298.59999999999997,303.59999999999997,7492834.152320553,2.1292157060839947,146.46951524719455,0.7530682501869417,5.311215430193865
4,278.5085987261146,287.0105868332006,4949021.408455205,6.128038684721801,205.7340479148189,0.24222842652203322,6.029389492478902,285.68622047244094,293.59818829970476,5789567.661743249,4.114684169210103,184.95296523396965,0.3842291883628705,5.59358880316572,293.7271604938271,300.53814564043205,6796181.377809604,2.655619215827759,156.1745346203205,0.642301424059429,5.370332436250925,297.9,303.7754375,7317682.658995932,1.953830822275598,129.4224078409815,0.9834438430224774,5.315972413999189
5,278.2248407643312,286.77504555632964,4920830.306445174,6.219335015912511,206.42008836805056,0.23802212437084544,6.054046753436117,285.2846456692913,293.175600578248,5732495.532022108,4.219625492932273,186.40346862055424,0.3733037391092491,5.610151311333432,292.9864197530864,300.04624749228395,6720183.466267691,2.749167866754684,158.74697618870582,0.6154808078132209,5.38344104490394,297.34999999999997,303.427375,7259578.976387933,2.0588163504247663,134.64843489077728,0.906288716916437,5.320293866515807
6,278.0429936305732,286.5417739848726,4893032.111316684,6.31147980142251,207.09651250323205,0.23390173872236014,6.0658529267273895,285.2992125984252,293.18712324680115,5734045.722762347,4.21673009908513,186.3641901308375,0.3735973814123155,5.609648611074994,293.2654320987654,300.23152912808644,6748718.1127952635,2.7139095600549363,157.7954347541405,0.6253012362519889,5.378083820872778,297.79999999999995,303.74731249999996,7312964.328017147,1.963571707789832,129.93356662479013,0.97562647798542,5.316811594800933
7,278.0668789808917,286.5616939938297,4895401.212517374,6.303542702415408,207.03886508283833,0.23425185667679607,6.064294988782399,286.311811023622,294.18820112573815,5870013.043254263,3.9722826944471423,182.89170878539912,0.40004899300067803,5.567810418640585,295.0074074074074,301.5809936342593,6959942.778131278,2.456035891602994,150.11043489466147,0.7091113166394267,5.345577479571133,299.54999999999995,304.54999999999995,7722219.158163166,1.9965762363738087,144.1082849971262,0.7824005689924558,5.306157849658878
8,278.7092356687898,287.17713117038215,4969029.035542032,6.06451525906731,205.2470916736529,0.2452309439896101,6.013665006958073,288.1791338582677,295.78566055610236,6092375.536263124,3.608358591811271,177.06809755974868,0.4467068171515376,5.503134083810022,297.17716049382716,303.2992083333333,7238330.930303957,2.0920386886197537,136.1806215343895,0.8847779010893829,5.321779075819122,301.95,306.95,8289110.999215246,1.7102892432819656,138.2180187682134,0.859834501331968,5.299558542580115
9,280.2872611464968,288.6341307474124,5146726.063346292,5.542424803760423,200.91658504038617,0.27256456435818577,5.885386202713428,290.16417322834644,297.5075575787402,6339791.616211656,3.2456748138404197,170.28418172995183,0.5050250775105929,5.446063585122265,299.49567901234565,304.49567901234565,7709170.964763658,2.0038293444123516,144.2426123083878,0.7807066935624306,5.306372440655326,304.4,309.4,8846882.483498827,1.4734961316314827,132.25320765539246,0.9451077175183982,5.302228158176337
10,281.9907643312102,290.1686693869427,5339147.121162931,5.049929172523921,196.20358836277876,0.30366581701649886,5.770377563376608,291.96535433070864,299.00497594734253,6561818.482705918,2.948956268537651,163.77228472429886,0.565483358214414,5.4033951350656215,301.7216049382716,306.7216049382716,8236020.054427724,1.7349428335577373,138.7761400666493,0.8522224228373924,5.299824859768128,306.95,311.95,9405540.43834287,1.2707797399316387,126.11102550626349,1.0411833381780766,5.312927786326137
11,283.51401273885347,291.6530961136544,5530576.737231745,4.620296253635043,191.470432752203,0.33642052461908895,5.691198648300081,293.5070866141732,300.3920028297244,6773521.028840126,2.683398909100183,156.9546462239879,0.6340763137807363,5.373992504729952,303.6506172839506,308.6506172839506,8678537.987872927,1.5409726703522018,134.0728493736493,0.9183066412304636,5.300088707147171,309.34999999999997,314.34999999999997,9912101.254384344,1.1110037580463699,120.41687526827643,1.1388733338060488,5.329114276191124
12,284.72707006369427,292.62212042197456,5658426.122852252,4.36103401084098,188.27299827924583,0.35946712303097367,5.632945647067462,294.78385826771654,301.44302189960626,6938064.086254671,2.482727715885953,150.97273700748158,0.6992883841245388,5.3484559303275505,305.1765432098765,310.1765432098765,9019289.790085215,1.407613477618147,130.37369322496832,0.9735613630441362,5.304787015297318,311.29999999999995,316.29999999999995,10309656.88112336,0.9987754711558094,115.84529852878343,1.224164422440144,5.345824945644907
13,285.66146496815287,293.5262351214172,5779818.105563584,4.13237383221972,185.2014136376114,0.3823458485010738,5.594414468389812,295.4700787401575,301.98054613681103,7023681.144900846,2.3777423404952116,147.47607592379634,0.7398221672147136,5.339609054352645,306.24197530864194,311.24197530864194,9252562.66591897,1.3232851700307013,127.80738664521905,1.0137406093878634,5.309326029622734,312.7,317.7,10586925.18251105,0.9263425156473061,112.5852130626674,1.2891689747392414,5.359409416065732
14,286.18248407643307,294.03739286425156,5849366.0072101625,4.008240115402056,183.42274393774278,0.3959398446470744,5.573241770131018,296.1055118110236,302.4705455216535,7102644.818182117,2.278491674210007,143.88400118966774,0.783484439410746,5.332511098827998,306.96049382716046,311.96049382716046,9407795.303966071,1.2700214523918671,126.08593282986443,1.0415947317765972,5.312977643811015,313.4,318.4,10722936.904977793,0.8923912344545561,110.96067406702112,1.322972383526374,5.366623815591797
15,286.2248407643312,294.12076520203027,5860773.193852748,3.988324928675088,183.12953215373656,0.3982058099022975,5.5718963744566405,296.2251968503937,302.53599827755903,7113261.386613573,2.2648314676571277,143.36490594603868,0.7899725655020042,5.331130428229811,307.2308641975308,312.2308641975308,9465778.577128557,1.2506781343789548,125.4402088604063,1.052237228599243,5.314543531448668,313.54999999999995,318.54999999999995,10751853.534850964,0.8853002104788785,110.61299810801661,1.3303345384633027,5.36818859372041
